OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
48117,27,0,0,400096,,,,367096.576,No,,2258864.964,No,,890.15864660571,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4405158.912,27106379.568,,0ab8ff33-b223-4b53-a871-4afe95984f6a,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/3/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145070478357,43.0020305259045
48118,27,0,0,400097,,,,367239.245,No,,2258866.964,No,,889.5862,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4406870.94,27106403.568,,07d62913-ed86-4a76-bc9c-9d0987cd7492,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.914492628977,43.0024218731526
48119,27,0,0,400098,,,,367096.576,No,,2258866.964,No,,890.15864660571,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4405158.912,27106403.568,,ddb4423e-f372-4010-a3e9-efe3b02afde2,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/3/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9144995711576,43.0020304542954
48120,27,0,0,400099,,,,367507.417,,,2258825.964,,,885.46078204425,15.0,,3.25,5.45,,,8.5,,,,,,,,,,,7deeaf53-f823-4c17-aeae-3ee9f6e81d1b,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9146328389249,43.0031590793706
48121,27,0,0,400100,,,,367374.037,No,,2258825.964,No,,889.9735,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4408488.444,27105911.568,,7421e218-cb4c-4061-8d97-97063bf5b256,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9146393283545,43.0027931452672
48122,27,0,0,400101,,,,367507.417,,,2258845.464,,,885.613563307394,15.0,,3.25,5.45,,,8.5,,,,,,,,,,,fa1181be-c679-410a-801c-8ec433ac19b4,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9145599469278,43.0031583830011
48123,27,0,0,400102,,,,367374.037,No,,2258845.464,No,,890.3,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4408488.444,27106145.568,,28e30664-495e-4277-b7e6-8e4893797f14,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145664372557,43.0027924488935
47192,27,0,0,500082,,,,367329.698,,,2258838.403,,,888.0868,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4407956.376,27106060.836,,1b9970f3-5e4e-456b-ba52-53f77e8741f2,12/16/2025 4:14:51 PM,HNemerov_westwood,2/5/2026 3:30:23 PM,Boldtpersonnel_boldt,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9145949884104,43.0026710550655
47193,27,0,0,500083,,,,367329.698,,,2258843.653,,,888.0868,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4407956.376,27106123.836,,c304b568-fc2e-470e-818f-ad057c32dfbf,12/16/2025 4:14:51 PM,HNemerov_westwood,2/5/2026 8:17:18 PM,Boldtpersonnel_boldt,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9145753638147,43.0026708678326
47194,27,0,0,500084,,,,367329.698,,,2258852.57,,,888.0868,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4407956.376,27106230.84,,e436851a-ac67-4e9b-9938-520ecb7339b7,12/16/2025 4:14:51 PM,HNemerov_westwood,2/5/2026 8:18:30 PM,Boldtpersonnel_boldt,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9145420318261,43.0026705492081
48124,27,0,0,600087,,,,367375.237,No,,2258825.026,No,,893.6262,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408502.844,27105900.312,,58f9074c-6d73-4d67-9530-1d0c9fb53a92,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9146427760886,43.0027964714371
48125,27,0,0,600088,,,,367379.837,No,,2258825.026,No,,893.4764,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408558.044,27105900.312,,9570dd3e-816c-4e46-861a-2c3ddb1ebec4,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9146425524081,43.0028090915664
48126,27,0,0,600089,,,,367375.237,No,,2258826.901,No,,893.7113,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408502.844,27105922.812,,4582a46e-1078-42e8-ae60-9a51f1793e95,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9146357674327,43.0027964044275
48127,27,0,0,600090,,,,367379.837,No,,2258826.901,No,,893.5057,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408558.044,27105922.812,,b9894dc2-bad8-41d4-8f0c-3aa0a8d9adbc,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9146355437522,43.0028090245568
48128,27,0,0,600091,,,,367375.237,No,,2258844.526,No,,893.7738,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408502.844,27106134.312,,bc5a5a71-562b-45f9-ac13-2593bdced027,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145698849898,43.0027957750633
48129,27,0,0,600092,,,,367379.837,No,,2258844.526,No,,893.6523,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408558.044,27106134.312,,a2860410-9fb6-4d36-b63d-3927124caa00,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145696613093,43.0028083951928
48130,27,0,0,600093,,,,367377.537,No,,2258846.401,No,,893.7083,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408530.444,27106156.812,,497a6831-4555-4e96-be27-0cd7ce2e9f7e,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145627640445,43.0028020181188
48131,27,0,0,600094,,,,367379.837,No,,2258846.401,No,,893.6522,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4408558.044,27106156.812,,d853a72d-b34e-4daa-ac1f-499466d7ecaf,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145626526534,43.0028083281833
48132,27,0,0,600095,,,,367224.245,No,,2258864.027,No,,893.2009,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4406690.94,27106368.324,,f54bdb42-308a-41a4-b3ae-bb901fb520cc,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145043376184,43.0023808249448
48133,27,0,0,600096,,,,367238.045,No,,2258864.027,No,,893.2597,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4406856.54,27106368.324,,da96a025-e82e-4a7f-8183-1cadc5b71e62,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145036656786,43.0024186855812
48134,27,0,0,600097,,,,367231.145,No,,2258864.027,No,,893.2254,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4406773.74,27106368.324,,8b1b75c5-52de-41ec-8357-43d859aebe48,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145040016485,43.0023997552659
48135,27,0,0,600098,,,,367229.995,No,,2258867.902,No,,893.3045,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4406759.94,27106414.824,,17b412c3-ee53-4524-b38c-084ec01724cc,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9144895729085,43.0023964619226
48136,27,0,0,600099,,,,367224.245,No,,2258867.902,No,,893.2143,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4406690.94,27106414.824,,820383a5-ada7-4add-982f-fb7ac457b6cb,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9144898522845,43.0023806863261
48137,27,0,0,600100,,,,367235.745,No,,2258867.902,No,,893.2136,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4406828.94,27106414.824,,7bdd339b-bb41-4a6c-b006-51ca245d1684,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9144892926341,43.002412237515
